Course Code,Title,Units,Description,Prerequisites,Learning Activities,Grade Mode,General Education
STA 035C,Statistical Data Science III,4,"Learning Activities:Lecture 3 hour(s), Discussion/Laboratory 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL); Scientific Literacy (SL).",STA 035B; ( MAT 016B OR MAT 017B OR MAT 019B OR MAT 021B ) ,"Lecture 3 hour(s), Discussion/Laboratory 1 hour(s)",Letter,"SE, QL, SL"
STA 090X,Seminar,1,Learning Activities:Seminar 1-2 hour(s).Grade Mode:Letter.,Consent of instructor; high school algebra,Seminar 1-2 hour(s),Letter,
STA 092,Internship in Statistics,1,Learning Activities:Internship.Grade Mode:P/NP only.,Consent of instructor,Internship,Pass/No Pass only,
STA 098,Directed Group Study,1,Learning Activities:Variable.Grade Mode:Pass/No Pass only.,Consent of instructor,Variable,Pass/No Pass only,
STA 099,Special Study for Undergraduates,1,Learning Activities:Variable.Grade Mode:Pass/No Pass only.,Consent of instructor,Variable,Pass/No Pass only,
STA 100,Applied Statistics for Biological Sciences,4,"Learning Activities:Lecture 3 hour(s), Laboratory 1 hour(s).Credit Limitation(s):Only 2 units credit allowed to students who have takenSTA 013,STA 032or103; not open for credit to students who have taken STA 102.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).",MAT 016B OR MAT 017B OR MAT 019B OR MAT 021B,"Lecture 3 hour(s), Laboratory 1 hour(s)",Letter,"SE, QL"
STA 101,Advanced Applied Statistics for the Biological Sciences,4,"Learning Activities:Lecture 3 hour(s), Laboratory 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).",STA 035B OR STA 100 or better,"Lecture 3 hour(s), Laboratory 1 hour(s)",Letter,"SE, QL"
STA 103,Applied Statistics for Business & Economics,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Credit Limitation(s):Only 2 units credit to students who have completedSTA 100.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).",( STA 013 or better OR STA 013Y OR STA 032 or better OR STA 035B OR STA 100 or better ) ; ( MAT 016B OR MAT 017B OR MAT 019B OR MAT 021B ) ,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,"SE, QL"
STA 104,Applied Statistical Methods: Nonparametric Statistics,4,"Learning Activities:Lecture 3 hour(s), Laboratory 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).",STA 013 or better OR STA 013Y OR STA 032 or better OR STA 035B OR STA 100 or better,"Lecture 3 hour(s), Laboratory 1 hour(s)",Letter,"SE, QL"
STA 106,Applied Statistical Methods: Analysis of Variance,4,"Learning Activities:Lecture 3 hour(s), Discussion/Laboratory 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE).",STA 013 or better OR STA 013Y OR STA 032 or better OR STA 035B OR STA 100 or better,"Lecture 3 hour(s), Discussion/Laboratory 1 hour(s)",Letter,SE
STA 108,Applied Statistical Methods: Regression Analysis,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL); Scientific Literacy (SL).",STA 013 or better OR STA 013Y OR STA 032 or better OR STA 035B OR STA 100 or better,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,"SE, QL, SL"
STA 109,Fundamentals of Statistical Learning,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Credit Limitation(s):Not open for credit to students who have takenSTA 142AorECS 171; only 2 units credit for students who have takenSTA 035C.Grade Mode:Letter.General Education:Science & Engineering (SE).",STA 015C OR STA 106 or better OR STA 108 or better,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,SE
STA 130A,Mathematical Statistics: Brief Course,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Credit Limitation(s):Only 2 units of credit allowed to students who have takenSTA 131A.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).",( MAT 016C OR MAT 017C OR MAT 019C OR MAT 021C ) ; ( STA 013 or better OR STA 013Y OR STA 032 or better OR STA 035B OR STA 100 or better ) ,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,"SE, QL"
STA 130B,Mathematical Statistics: Brief Course,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).",STA 130A OR STA 131A OR MAT 135A,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,"SE, QL"
STA 131A,Introduction to Probability Theory,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Credit Limitation(s):Not open for credit to students who have completedMAT 135A.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).",MAT 021C; ( MAT 022A OR MAT 027A OR MAT 067 or better ) ;MAT 021Dstrongly recommended,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,"SE, QL"
STA 131B,Introduction to Mathematical Statistics,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE).",STA 131A OR MAT 135A; consent of instructor,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,SE
STA 131C,Introduction to Mathematical Statistics,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE).",STA 131B,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,SE
STA 135,Multivariate Data Analysis,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).",( STA 130B OR STA 131B ) ; ( MAT 022A OR MAT 027A OR MAT 067 or better ) ;MAT 167recommended,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,"SE, QL"
STA 137,Applied Time Series Analysis,4,"Learning Activities:Lecture 3 hour(s), Laboratory 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).",STA 108 or better; ( MAT 022A OR MAT 027A OR MAT 067 or better ) ,"Lecture 3 hour(s), Laboratory 1 hour(s)",Letter,"SE, QL"
STA 138,Analysis of Categorical Data,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).","( STA 130BorSTA 131B ) or ( STA 106,STA 108 ) ","Lecture 3 hour(s), Discussion 1 hour(s)",Letter,"SE, QL"
STA 141A,Fundamentals of Statistical Data Science,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One & Pass Two: open to Statistics Majors, Biostatistics & Statistics graduate students; registration open to all students during schedule adjustment.Credit Limitation(s):Not open for credit to students who have taken STA 141 orSTA 242.Grade Mode:Letter.",STA 108 or better OR STA 106 or better,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,
STA 141B,Data & Web Technologies for Data Analysis,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One and Pass Two restricted to Statistics majors and graduate students in Statistics and Biostatistics. Open to all students during Open Registration.Grade Mode:Letter.",STA 141A,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,
STA 141C,Big Data & High Performance Statistical Computing,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One and Pass Two restricted to Statistics majors and graduate students in Statistics and Biostatistics; open to all students during Open registration.Grade Mode:Letter.","STA 141B or ( STA 141A, ( ECS 010 OR ECS 032A OR ECS 032AVC- or better ) ) ","Lecture 3 hour(s), Discussion 1 hour(s)",Letter,
STA 142A,Statistical Learning I,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One restricted to Statistics majors.Credit Limitation(s):Only 2 units of credit for students who have previously takenECS 171.Grade Mode:Letter.",STA 141A; ( STA 130A OR STA 131A OR MAT 135A ) ; ( MAT 022A OR MAT 027A OR MAT 067 or better ) ;STA 131AorMAT 135Apreferred;MAT 167recommended,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,
STA 142B,Statistical Learning II,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One restricted to Statistics majors.Grade Mode:Letter.",STA 141A; ( STA 130A OR STA 131A OR MAT 135A ) ; ( MAT 022A OR MAT 027A OR MAT 067 or better;STA 131AorMAT 135Apreferred;MAT 167recommended,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,
