Course Code,Title,Units,Description,Prerequisites,Learning Activities,Grade Mode,General Education
MGT 288,Special Topics in Management of Information Systems,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,,Lecture 3 hour(s),Letter,
MGT 290,Topics in General Management,3,Learning Activities:Seminar 3 hour(s).Repeat Credit:May be repeated.Grade Mode:Letter.,Completion of all first-year graduate courses at the Graduate School of Management or the equivalent,Seminar 3 hour(s),Letter,
MGT 291,Topics in Organizational Behavior,3,Learning Activities:Seminar 3 hour(s).Repeat Credit:May be repeated.Grade Mode:Letter.,Completion of all first-year graduate courses at the Graduate School of Management or the equivalent,Seminar 3 hour(s),Letter,
MGT 292,Topics in Finance,3,Learning Activities:Seminar 3 hour(s).Repeat Credit:May be repeated.Grade Mode:Letter.,Completion of all first-year graduate courses at the Graduate School of Management or the equivalent,Seminar 3 hour(s),Letter,
MGT 293,Topics in Marketing,3,Learning Activities:Seminar 3 hour(s).Repeat Credit:May be repeated.Grade Mode:Letter.,Completion of all first-year graduate courses at the Graduate School of Management or the equivalent,Seminar 3 hour(s),Letter,
MGT 294,Topics in Accounting,3,Learning Activities:Seminar 3 hour(s).Repeat Credit:May be repeated.Grade Mode:Letter.,Completion of all first-year graduate courses at the Graduate School of Management or the equivalent,Seminar 3 hour(s),Letter,
MGT 295,Topics in Information Technology,3,Learning Activities:Seminar 3 hour(s).Repeat Credit:May be repeated.Grade Mode:Letter.,Completion of all first-year graduate courses at the Graduate School of Management or the equivalent,Seminar 3 hour(s),Letter,
MGT 296,Topics in Technology Management,3,Learning Activities:Seminar 3 hour(s).Repeat Credit:May be repeated.Grade Mode:Letter.,Completion of all first-year graduate courses at the Graduate School of Management or the equivalent,Seminar 3 hour(s),Letter,
MGT 297,Topics in International Management,3,"Learning Activities:Seminar 3 hour(s).Repeat Credit:May be repeated.Grade Mode:Letter.MGT 297— Topics in International Management  (3 units)Course Description:Broader environment in which U.S. firms and their foreign competitors operate. Integration of materials from other topics courses (marketing, strategy, finance, accounting, information technology, technology management) into the international setting. Includes an international travel requirement.Learning Activities:Lecture 3 hour(s).Repeat Credit:May be repeated for credit.Grade Mode:S/U only.This course version is effective from, and including:  Fall Quarter 2025.",Completion of all first-year graduate courses at the Graduate School of Management or the equivalent,Seminar 3 hour(s),Letter,
MGT 298,Directed Group Study,1,Learning Activities:Variable.Grade Mode:Satisfactory/Unsatisfactory only.,Consent of instructor,Variable,Satisfactory/Unsatisfactory only,
MGT 299,Individual Study,1,Learning Activities:Variable.Grade Mode:Satisfactory/Unsatisfactory only.,Consent of instructor,Variable,Satisfactory/Unsatisfactory only,
